ProblemType,Pass,RuntimeError,TestingError-Generator,TestingError-Indention,TestingError-Index,TestingError-Other,TestingError-Syntax,TestingError-Unpacking,Timeout,WrongAnswer (no diff shown),WrongAnswer-BooleanMismatch,WrongAnswer-NumericMismatch,WrongAnswer-SymbolMismatch
Arithmetic-ArrayMatrix,118,23,0,18,0,1,0,69,7,101,4,41,2
Arithmetic-Counting,75,13,0,34,0,0,0,23,8,32,5,75,4
Arithmetic-NumberTheory,1,2,0,2,0,0,0,0,1,1,0,2,0
DataStructure-GraphTree,5,15,1,10,0,0,0,2,2,10,2,20,1
DataStructure-Queue,24,24,0,19,0,0,0,1,3,10,13,45,1
DataStructure-Stack,2,1,0,1,0,0,0,0,0,0,0,2,0
Other,18,3,0,4,0,0,0,0,0,1,4,9,0
Simulation,2,1,0,3,0,0,0,0,0,2,1,1,0
String-Other,17,1,0,5,0,0,0,0,0,4,9,2,2
String-Pattern,21,7,0,0,1,0,1,1,2,11,2,10,5
String-Property,2,4,0,0,0,0,0,0,0,2,1,1,0
String-Transform,8,1,0,1,0,0,0,0,0,3,2,2,2
